id,name,message_follower_ids,priority
1,User_34,[1895],Medium
2,User_86,"[1518, 1384]",Low
3,User_3,"[1594, 1279]",High
4,User_23,[1649],Low
5,User_41,,Medium
6,User_22,"[1716, 1707, 1947, 1773]",Low
7,User_4,,Low
8,User_98,"[1480, 1237, 1350, 1388]",Medium
9,User_53,"[1959, 1357]",Medium
10,User_79,"[1516, 1380, 1786, 1512, 1810]",Medium
11,User_63,,Low
12,User_54,"[1627, 1056, 1026, 1038]",Medium
13,User_45,"[1656, 1475, 1538, 1503, 1128]",Medium
14,User_78,[1240],Low
15,User_43,"[1591, 1327, 1329, 1874]",Low
16,User_70,"[1804, 1724, 1781]",Low
17,User_81,"[1000, 1362]",Low
18,User_29,"[1098, 1048, 1685, 1718]",High
19,User_67,,Low
20,User_73,"[1857, 1375]",Medium
21,User_94,"[1558, 1205, 1938]",Medium
22,User_59,"[1918, 1322, 1009, 1815, 1434]",Low
23,User_60,"[1540, 1850, 1765, 1120]",Low
24,User_47,"[1436, 1205, 1075, 1171, 1937]",Medium
25,User_89,"[1081, 1736]",Low
26,User_60,[1783],High
27,User_49,,Low
28,User_49,,High
29,User_88,[1980],High
30,User_62,"[1531, 1008, 1314, 1371, 1241]",Medium
31,User_38,,Medium
32,User_34,"[1885, 1464, 1896, 1012]",Low
33,User_10,"[1360, 1467, 1453, 1255, 1193]",High
34,User_83,[1901],Low
35,User_76,,High
36,User_26,"[1135, 1370, 1064, 1916, 1127]",Low
37,User_20,"[1825, 1718, 1891]",Low
38,User_28,[1251],Medium
39,User_40,"[1670, 1483]",Medium
40,User_69,"[1266, 1952]",High
41,User_75,"[1935, 1114]",High
42,User_16,[1134],High
43,User_16,,Low
44,User_43,"[1163, 1324, 1105, 1209, 1565]",Medium
45,User_68,"[1119, 1607]",Low
46,User_95,,High
47,User_43,"[1557, 1791, 1119, 1414, 1478]",Medium
48,User_91,"[1762, 1486, 1661]",Medium
49,User_25,"[1486, 1185, 1815, 1272]",Low
50,User_36,"[1566, 1255]",High
51,User_99,"[1692, 1643, 1047]",High
52,User_51,"[1376, 1073, 1953, 1358, 1462]",Low
53,User_30,"[1789, 1994, 1352, 1016]",High
54,User_83,"[1549, 1838, 1033, 1823]",Medium
55,User_32,"[1720, 1933]",Low
56,User_1,,Medium
57,User_56,,High
58,User_17,"[1010, 1695, 1805, 1146, 1556]",Medium
59,User_78,"[1697, 1615, 1528]",Medium
60,User_41,"[1445, 1195, 1161, 1853, 1777]",High
